Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	
356	360.	20.	0.	
357	350.	20.	0.	
358	340.	20.	0.	
359	330.	20.	0.	
360	320.	20.	0.	
361	310.	20.	0.	
362	300.	20.	0.	
363	290.	20.	0.	
364	270.	20.	0.	
365	260.	20.	0.	
366	250.	20.	0.	
367	240.	20.	0.	
368	230.	20.	0.	
369	220.	20.	0.	
370	210.	20.	0.	
371	200.	20.	0.	
372	190.	20.	0.	
373	170.	20.	0.	
374	150.	20.	0.	
375	140.	20.	0.	
376	130.	20.	0.	
377	120.	20.	0.	
378	109.99	20.103	0.	
379	90.145	20.237	0.	
380	420.15	79.714	0.	
381	79.977	79.917	0.	
382	80.015	20.571	0.	
383	420.27	20.011	0.	
384	430.5	79.157	0.	
385	69.396	79.292	0.	
386	69.718	21.146	0.	
387	430.9	20.502	0.	
388	429.69	30.206	0.	
389	428.81	38.624	0.	
390	427.52	49.456	0.	
391	429.43	68.999	0.	
392	428.42	60.531	0.	
393	440.35	80.476	0.	
394	448.81	81.509	0.	
395	459.82	82.619	0.	
396	20.226	80.796	0.	
397	28.823	81.711	0.	
398	39.808	82.48	0.	
399	59.332	80.256	0.	
400	50.888	81.252	0.	
401	20.952	19.436	0.	
402	29.49	18.429	0.	
403	40.644	17.76	0.	
404	51.601	19.009	0.	
405	60.002	19.912	0.	
406	71.743	61.029	0.	
407	70.715	31.309	0.	
408	71.807	39.808	0.	
409	72.708	50.213	0.	
410	449.57	18.222	0.	
411	460.62	17.448	0.	
412	471.44	18.566	0.	
413	480.	19.322	0.	
414	19.771	90.448	0.	
415	29.848	90.874	0.	
416	40.059	90.883	0.	
417	50.09	90.653	0.	
418	60.152	90.206	0.	
419	69.876	89.723	0.	
420	79.792	89.807	0.	
421	89.922	89.958	0.	
422	100.	90.	0.	
423	110.	90.	0.	
424	120.	90.	0.	
425	130.	90.	0.	
426	140.	90.	0.	
427	150.	90.	0.	
428	160.	90.	0.	
429	170.	90.	0.	
430	180.	90.	0.	
431	190.	90.	0.	
432	200.	90.	0.	
433	210.	90.	0.	
434	220.	90.	0.	
435	230.	90.	0.	
436	240.	90.	0.	
437	250.	90.	0.	
438	260.	90.	0.	
439	270.	90.	0.	
440	280.	90.	0.	
441	290.	90.	0.	
442	300.	90.	0.	
443	310.	90.	0.	
444	320.	90.	0.	
445	330.	90.	0.	
446	340.	90.	0.	
447	350.	90.	0.	
448	360.	90.	0.	
449	370.	90.	0.	
450	380.	90.	0.	
451	390.	90.	0.	
452	400.	90.	0.	
453	410.06	89.9	0.	
454	420.09	89.86	0.	
455	429.98	89.796	0.	
456	439.74	90.296	0.	
457	449.84	90.812	0.	
458	459.92	90.964	0.	
459	470.09	90.933	0.	
460	490.	90.	0.	
461	489.36	79.495	0.	
462	490.42	69.467	0.	
463	491.33	61.052	0.	
464	492.24	50.138	0.	
465	491.41	39.583	0.	
466	490.18	31.177	0.	
467	489.55	20.836	0.	
468	490.04	10.134	0.	
469	480.35	9.6542	0.	
470	470.28	9.1721	0.	
471	460.24	9.0563	0.	
472	450.1	9.0593	0.	
473	439.94	9.5556	0.	
474	430.13	10.076	0.	
475	420.14	10.064	0.	
476	410.	10.	0.	
477	400.	10.	0.	
478	390.	10.	0.	
479	380.	10.	0.	
480	370.	10.	0.	
481	360.	10.	0.	
482	350.	10.	0.	
483	340.	10.	0.	
484	330.	10.	0.	
485	320.	10.	0.	
486	310.	10.	0.	
487	300.	10.	0.	
488	290.	10.	0.	
489	280.	10.	0.	
490	270.	10.	0.	
491	260.	10.	0.	
492	250.	10.	0.	
493	240.	10.	0.	
494	230.	10.	0.	
495	220.	10.	0.	
496	210.	10.	0.	
497	200.	10.	0.	
498	190.	10.	0.	
499	180.	10.	0.	
500	170.	10.	0.	
501	160.	10.	0.	
502	150.	10.	0.	
503	140.	10.	0.	
504	130.	10.	0.	
505	120.	10.	0.	
506	110.	10.	0.	
507	100.	10.	0.	
508	89.863	10.169	0.	
509	79.881	10.417	0.	
510	70.107	10.354	0.	
511	60.395	9.8917	0.	
512	50.341	9.4487	0.	
513	40.209	9.2855	0.	
514	30.105	9.232	0.	
515	19.892	9.6982	0.	
516	10.068	10.103	0.	
517	10.745	20.428	0.	
518	9.5042	30.132	0.	
519	8.7849	38.626	0.	
520	7.8028	49.587	0.	
521	8.681	60.702	0.	
522	9.7681	69.133	0.	
523	10.502	79.333	0.	
524	9.929	89.91	0.	
525	360.	80.	0.	
526	330.	80.	0.	
527	210.	80.	0.	
528	160.	20.	0.	
529	470.91	81.831	0.	
530	320.	80.	0.	
531	200.	80.	0.	
532	280.	20.	0.	
533	400.	20.	0.	
534	100.05	20.129	0.	
535	280.	80.	0.	
536	160.	80.	0.	
537	70.772	69.489	0.	
538	480.23	90.455	0.	
539	80.701	70.166	0.	
540	190.	40.004	0.	
541	440.97	19.318	0.	
542	479.45	80.751	0.	
543	180.	20.	0.	
